City,Property Type,Bedrooms,Bathrooms,Square Footage,Address,Zip code,Price
Ottawa,apartment,1-2,1,1,"1343 Meadowlands Drive  - Ottawa , ON",K2C 1N6,$1576 - $1827
Ottawa,apartment,1-4,2,815,"1000 Castle Hill Crescent  - Ottawa , ON",K2C 3R8,$1825 - $3060
Ottawa,apartment,2,1,1350,"335 McArthur Ave.  - Ottawa , ON",K1L 6N5,$1664
Ottawa,apartment,1,1,2400,"1725 Frobisher Lane  - Ottawa , ON",K1G 3T7,$1649
Ottawa,apartment,1-2,2,900,"1960 Scott Street  - Ottawa , ON",K1Z 8L8,$2200 - $2700
Ottawa,apartment,1-2,2,265,"175 Carruthers Avenue,  - Ottawa , ON",K1Y 1P8,$1885 - $3385
Ottawa,apartment,1,1,800,"1735 Frobisher Lane  - Ottawa , ON",K1G 3T7,$1604 - $1669
Ottawa,apartment,1-2,1,600,"2025 &amp; 2035 Othello Avenue  - Ottawa , ON",K1G 4G3,$1569 - $1834
Ottawa,apartment,0-1,1,477,"100 Bronson Avenue  - Ottawa , ON",K1R 0B2,$1489 - $1899
Ottawa,apartment,1,1,250,"350 Montgomery St  - Ottawa , ON",K1N 7W8,$1700 - $1800
Ottawa,apartment,1-3,1,710,"1591 Lycee Place  - Ottawa , ON",K1G 0E5,$1742 - $2612
Ottawa,apartment,0-1,1,650,"20 York Street  - Ottawa , ON",K1N 5T9,$1758 - $2177
City not found,apartment,1-2,1,700,"1785-1815 Baseline Road  - Ottawa , ON",K2C 3E7,$1649 - $2149
Ottawa,apartment,0-2.5,2,1300,"165 Chapel Street  - Ottawa , ON",K1N 5Z4,$1849 - $2699
Ottawa,apartment,1,1,1000,"160 Chapel Street  - Ottawa , ON",K1N 5Z4,$1600 - $1850
Ottawa,apartment,0-2,1,1264,"19 Robinson  - Ottawa , ON",K1N 8M9,$1575 - $2355
Ottawa,apartment,1-2,1,662,"17 Aberdeen Street  - Ottawa , ON",K1S 1N4,$2079 - $2899
City not found,apartment,1-2,1,1500,"346-376 Tillbury Avenue  - Ottawa , ON",K2A 2A8,$1590 - $1790
Ottawa,apartment,1-2,1,600,"211 Wurtemburg Street  - Ottawa , ON",K1N 6A2,$1500 - $2365
Ottawa,apartment,1,1,1000,"4 Somerset St West  - Ottawa , ON",K2P 0B9,$1900
Ottawa,apartment,1-2,1,750,"257 Lisgar Street  - Ottawa , ON",K2P 0C9,$1770 - $2410
Ottawa,apartment,1-2,2,700,"1161 Heron Road  - Ottawa , ON",K1H 7Z6,$1800 - $2350
Ottawa,apartment,1,1,700,"214 Metcalfe Street  - Ottawa , ON",K2P 1P8,$1769 - $1819
Ottawa,apartment,0-2.5,2,2000,"165 Chapel Street  - Ottawa , ON",K1N 5Z4,$1829 - $2699
Ottawa,apartment,1-2,2,855,"46 Flora St  - Ottawa , ON",K2P 1A7,$1720 - $2470
Ottawa,apartment,1-1.5,1.5,1200,"1140 Wellington St West  - Ottawa , ON",K1Y 2X9,$2115 - $2340
Ottawa,apartment,1,1,1150,"235 Somerset Street West  - Ottawa , ON",K1Y 2H4,$1900
City not found,apartment,2,1,1100,"1230-1240 Emperor Ave  - Ottawa , ON",K1Z 6H7,$1849
Ottawa,apartment,6,3,1000,"149 Henderson  - Ottawa , ON",K1N 0A6,$920
Ottawa,apartment,1,1,650,"251 Bolton St.  - Ottawa , ON",K1N 5B3,$1650
Ottawa,apartment,0,1,950,"105 Rosemount Ave.  - Ottawa , ON",K1Y 3H7,$1400
Ottawa,apartment,1,1,850,"111 Wurtemburg Street  - Ottawa , ON",K1N 8Z7,$1975
Ottawa,apartment,1-4,2,1100,"305 Rideau St  - Ottawa , ON",K1N 5Y4,$995 - $2060
Ottawa,apartment,0-2,2,650,"111 Cooper Street  - Ottawa , ON",K2P 1J2,$1250 - $1915
Ottawa,apartment,2,1,1000,"430 Daly Ave.  - Ottawa , ON",K1N 6H3,$2100
Ottawa,apartment,1,1,1350,"408 Albert St.  - Ottawa , ON",K1R 5B2,$1700
Ottawa,apartment,1-2,2,450,"641 Bathgate Drive  - Ottawa , ON",K1K 0S6,$2995 - $3495
Ottawa,apartment,1,1,650,"72 Flora St.  - Ottawa , ON",K2P 1A7,$1400
Ottawa,apartment,2,1,1200,"400 Montfort Street  - Ottawa , ON",K1L 6B3,$2095
Ottawa,shared-room,2,1,2500,"111 Cooper Street  - Ottawa , ON",K2P 1J2,$1076
Gloucester,condo,2,2.5,500,"672 Danaca Private  - Gloucester , ON",Postal code not found,$2700
Ottawa,house,5,3.5,546,"2083 Delmar Drive  - Ottawa , ON",K1H 5N1,$3300
Ottawa,apartment,1,1,1048,"982 Fisher Avenue  - Ottawa , ON",K1Z 7W8,$2195
Ottawa,multi-unit,2,1,766,"125 Henderson Avenue  - Ottawa , ON",K1N 0A6,$1950
Ottawa,apartment,3,1,600,"451 Echo Drive  - Ottawa , ON",K1S 2H2,$2900
Ottawa,apartment,1,1,583,"41 McNaughton Avenue  - Ottawa , ON",K1S 1C4,$2300
Ottawa,apartment,1,1,787,"180 Beausoleil Drive  - Ottawa , ON",K1N 5V3,$1550
Ottawa,apartment,2,2,1200,"419 Ravenhill Avenue  - Ottawa , ON",K2A 3L9,$2287
Ottawa,apartment,2,1,1200,"158 McArthur Avenue  - Ottawa , ON",K1L 6P8,$2100
Ottawa,apartment,3,1,1300,"228 Woodroffe Avenue  - Ottawa , ON",K2A 3V1,$2675
Ottawa,apartment,1,1,800,"211 Besserer Street  - Ottawa , ON",K1N 7M7,$1700
Ottawa,apartment,2,1,1300,"447 Catherine Street  - Ottawa , ON",K1R 6K2,$1796
Ottawa,town-house,2,2.5,500,"277 Squadron Crescent  - Ottawa , ON",K1K 0S6,$2590
Ottawa,house,3,2,1500,"560 Buchanan Crescent  - Ottawa , ON",K1J 6H2,$4100
Ottawa,basement,1,1,1300,"492 Mutual Street  - Ottawa , ON",K1K 1G5,$1600
Ottawa,apartment,1,1,965,"82 First Avenue  - Ottawa , ON",K1S 2G1,$2295
Ottawa,private-room,1,2,350,"1220 Prince of Wales Drive  - Ottawa , ON",K2C 1N2,$850
Ottawa,private-room,1-2,2.5,650,"Harper Avenue  - Ottawa , ON",K1J 1G1,$1300 - $2700
Ottawa,apartment,3,1,993,"415 Elgin Street  - Ottawa , ON",K2P 1N3,$2580
Ottawa,private-room,1,1,625,"1 Hillmount Crescent  - Ottawa , ON",K2G 2Y7,$850
Ottawa,condo,2,2,1050,"313 Saint Patrick Street  - Ottawa , ON",K1N 1E7,$2500
Ottawa,condo,2,1,800,"124 Guigues Avenue  - Ottawa , ON",K1N 7E1,$2475
Ottawa,house,2,1,700,"675 Blair Road  - Ottawa , ON",K1J 6N5,$2300
Ottawa,house,4,2,1000,"159 MacKay Street  - Ottawa , ON",K1M 2J7,$3700
Ottawa,duplex,1,2.5,1000,"134 Forward Avenue  - Ottawa , ON",K1Y 1L4,$1800
Ottawa,house,3,1,1800,"134 Forward Avenue  - Ottawa , ON",K1Y 1L4,$3500
Ottawa,private-room,1,1,1800,"116 Finn Court  - Ottawa , ON",K1V 6A6,$999
Ottawa,condo,1,2.5,655,"340 Queen Street  - Ottawa , ON",K1R 0C7,$2300
Ottawa,house,4,2,2250,"629 Southmore Drive West  - Ottawa , ON",K1V 7G1,$3200
