City,Property Type,Average_Bed,Square Footage,Address,Zip code,Price,Average_Price,Country
Ottawa,apartment,1.5,1750,"964 Smyth Rd  - Ottawa , ON",K1G 4G3,,2322.5,Canada
Ottawa,apartment,1,460,"2851 Baycrest Drive  - Ottawa , ON",K1V 0G8,,1329,Canada
Ottawa,apartment,1,625,"1161-1171 Wellington St.  - Ottawa , ON",K1A 0A3,,1789,Canada
Ottawa,apartment,1,1100,"146 Stewart Street  - Ottawa , ON",K1N 7N1,,1669,Canada
Ottawa,apartment,1,974,"126 Sparks Street  - Ottawa , ON",K1P 5A0,,2625,Canada
Ottawa,apartment,2,1200,"60 Stately Pvt  - Ottawa , ON",K1K 1V9,,2200,Canada
Ottawa,apartment,1,1160,"360 Croydon Avenue  - Ottawa , ON",K2B 7H6,,1639,Canada
Ottawa,apartment,1.5,600,"99 Fifth Ave  - Ottawa , ON",K1S 2L1,,3034,Canada
Ottawa,apartment,1.5,2000,"221 Lyon Street North  - Ottawa , ON",K1R 7X5,,2646.5,Canada
Ottawa,apartment,0.5,1800,"18 &amp; 20 Deerfield Drive  - Nepean , ON",K2G 3N5,,1679,Canada
Ottawa,apartment,1.5,1,"1343 Meadowlands Drive  - Ottawa , ON",K2C 1N6,,1701.5,Canada
Ottawa,apartment,2.5,815,"1000 Castle Hill Crescent  - Ottawa , ON",K2C 3R8,,2442.5,Canada
Ottawa,apartment,2,1350,"335 McArthur Ave.  - Ottawa , ON",K1L 6N5,,1664,Canada
Ottawa,apartment,1,2400,"1725 Frobisher Lane  - Ottawa , ON",K1G 3T7,,1649,Canada
Ottawa,apartment,1.5,900,"1960 Scott Street  - Ottawa , ON",K1Z 8L8,,2450,Canada
Ottawa,apartment,1.5,265,"175 Carruthers Avenue,  - Ottawa , ON",K1Y 1P8,,2635,Canada
Ottawa,apartment,1,800,"1735 Frobisher Lane  - Ottawa , ON",K1G 3T7,,1636.5,Canada
Ottawa,apartment,1.5,600,"2025 &amp; 2035 Othello Avenue  - Ottawa , ON",K1G 4G3,,1701.5,Canada
Ottawa,apartment,0.5,477,"100 Bronson Avenue  - Ottawa , ON",K1R 0B2,,1694,Canada
Ottawa,apartment,1,250,"350 Montgomery St  - Ottawa , ON",K1N 7W8,,1750,Canada
Ottawa,apartment,2,710,"1591 Lycee Place  - Ottawa , ON",K1G 0E5,,2177,Canada
Ottawa,apartment,0.5,650,"20 York Street  - Ottawa , ON",K1N 5T9,,1967.5,Canada
Ottawa,apartment,1.5,700,"1785-1815 Baseline Road  - Ottawa , ON",K2C 3E7,,1899,Canada
Ottawa,apartment,1.25,1300,"165 Chapel Street  - Ottawa , ON",K1N 5Z4,,2274,Canada
Ottawa,apartment,1,1000,"160 Chapel Street  - Ottawa , ON",K1N 5Z4,,1725,Canada
Ottawa,apartment,1,1264,"19 Robinson  - Ottawa , ON",K1N 8M9,,1965,Canada
Ottawa,apartment,1.5,662,"17 Aberdeen Street  - Ottawa , ON",K1S 1N4,,2489,Canada
Ottawa,apartment,1.5,1500,"346-376 Tillbury Avenue  - Ottawa , ON",K2A 2A8,,1690,Canada
Ottawa,apartment,1.5,600,"211 Wurtemburg Street  - Ottawa , ON",K1N 6A2,,1932.5,Canada
Ottawa,apartment,1,1000,"4 Somerset St West  - Ottawa , ON",K2P 0B9,,1900,Canada
Ottawa,apartment,1.5,750,"257 Lisgar Street  - Ottawa , ON",K2P 0C9,,2090,Canada
Ottawa,apartment,1.5,700,"1161 Heron Road  - Ottawa , ON",K1H 7Z6,,2075,Canada
Ottawa,apartment,1,700,"214 Metcalfe Street  - Ottawa , ON",K2P 1P8,,1794,Canada
Ottawa,apartment,1.25,2000,"165 Chapel Street  - Ottawa , ON",K1N 5Z4,,2264,Canada
Ottawa,apartment,1.5,855,"46 Flora St  - Ottawa , ON",K2P 1A7,,2095,Canada
Ottawa,apartment,1.25,1200,"1140 Wellington St West  - Ottawa , ON",K1Y 2X9,,2227.5,Canada
Ottawa,apartment,1,1150,"235 Somerset Street West  - Ottawa , ON",K1Y 2H4,,1900,Canada
